Ticker,Drug,Stage,Catalyst
LLY,Baricitinib  Rheumatoid arthritis,Approved,"06/01/2018  FDA approval announced for low dose only - June 1, 2018."
GTHX,G1T38 plus Faslodex  ER+ breast cancer,Phase 1b,06/02/2018  Phase 1b preliminary released at ASCO 2018 - 17% PR.
PBYI,Neratinib plus Kadcyla (T-DM1) HER2-positive metastatic breast cancer,Phase 1/2,"06/02/2018  Phase 1/2 interim data presented at ASCO June 2018. 9 PRs, 3CRs out of 20 patients."
RHHBY,Tecentriq+cb+pac/nab-pac - IMpower131  Squamous non-small cell lung cancer (NSCLC),Phase 3,06/02/2018  https://www.roche.com/media/releases/med-cor-2018-06-02.htm
NKTR,"NKTR-214 + OPDIVO (nivolumab) - PIVOT-02  Melanoma, Renal Cell Carcinoma and Non-Small Cell Lung Cancers",Phase 1/2,"06/02/2018  Phase 1/2 preliminary data at ASCO 2018. PR rates - Melanoma 50%; RCC 46%; Urothelial Carcinoma 60%. Updated data likely at SITC meeting November 7-11, 2018."
BMY,"NKTR-214 + OPDIVO (nivolumab) - PIVOT-02  Melanoma, Renal Cell Carcinoma and Non-Small Cell Lung Cancers",Phase 1/2,"06/02/2018  Phase 1/2 preliminary data at ASCO 2018. PR rates - Melanoma 50%; RCC 46%; Urothelial Carcinoma 60%. Updated data likely at SITC meeting November 7-11, 2018."
ADAP,NY-ESO T-cell therapy  Myxoid round cell liposarcoma (MRCLS),Phase 1/2,"06/02/2018  Phase 1/2 data released ASCO June 2018 - 3 PRs, 1 unconfirmed PR, 3 SD out of 8 patients."
LOXO,"LOXO-292  RET-fusion non-small cell lung cancer (NSCLC), medullary thyroid cancer (MTC) and other tumors",Phase 1,"06/02/2018  Phase 1 data presented at ASCO June 2018 - 77% ORR RET Fusion Cancers, 45% ORR for Medullary Thyroid Cancer (MTC)."
CLDX,Varlilumab and nivolumab  Solid tumors - cancer,Phase 2,"06/02/2018  Data at ASCO 2018 noted ORR 14%, DCR 38% for ovarian, 20% for Colorectal cancer."
AGIO,AG-120 Ivosidenib  R/R Acute Myeloid Leukemia (AML),Phase 1,06/02/2018  Phase 1 data at ASCO June 2018 noted CR rate was 24%.
DCPH,DCC-2618  Gastrointestinal Stromal Tumors (GIST),Phase 1,06/02/2018  Phase 1 poster at ASCO June 2018 - ORR 9-24% in 2nd- >4th line patients.
SGEN,Enfortumab vedotin  Urothelial cancer,Phase 1,06/03/2018  Presentation at ASCO June 2018. ORR 41%.
IMMU,SACTUZUMAB GOVITECAN (IMMU-132) HR+/HER2- metastatic breast cancer,Phase 2,06/03/2018  Presentation at ASCO June 2018. ORR 31%.
CELG,Lico-cel (CD-19 JCAR017) - TRANSCEND  r/r B cell non-Hodgkin lymphoma - cancer,Phase 1/2,"06/03/2018  Phase 1 data presented at ASCO 2018. 49% ORR, 46% CR at 6 months."
NVS,Kisqali plus fulvestrant: MONALEESA-3 Breast cancer - (post-menopausal),Phase 3,06/03/2018  Phase 3 data presented at ASCO 2018 - PFS 20.5 months v 12.8 months
MRK,KEYTRUDA + carboplatin-paclitaxel or nab-paclitaxel KEYNOTE-407  Squamous non-small cell lung cancer (sNSCLC),Approved,"06/03/2018  Noted May 3, 2018 that sBLA filing has been submitted. Met OS and PFS endpoints - presentation at ASCO June 2018 noted HR=0.64."
JNJ,Erdafitinib  Urothelial cancer,NDA Filing,06/03/2018  Phase 2 data presented at ASCO 2018 - ORR 40%.
MRK,Keytruda - KEYNOTE-042  Non-small cell lung cancer (NSCLC),Phase 3,"06/03/2018  Phase 3 data released April 9, 2018. Overall survival endpoint met. Presentation at ASCO June 2018 HR 0.69."
AGEN,AGEN2034 (anti-PD-1)  Cervical cancer,Phase 1/2,06/04/2018  Phase 1 presentation at ASCO 2018. 42% ORR.
DVAX,SD-101 + Pembrolizumab  Melanoma and head and neck squamous cell carcinoma (HNSCC),Phase 1/2,06/04/2018  Phase 1/2 data released at ASCO 2018. ORR 70%.
MRSN,XMT1522  HER2 - breast cancer,Phase 1,06/04/2018  Phase 1 dose escalation at ASCO June 2018. SD rate 11/13 at higher doses.
CTMX,CX 072  Solid tumors,Phase 1/2,06/04/2018  Phase 1/2 initial data released at ASCO 2018. 15% ORR.
XLRN,Luspatercept Extension Study - PACE-MDS  Myelodysplastic Syndromes,Phase 2,06/04/2018  Phase 2 updated data at ASCO June 2018. 55% achieved a clinically meaningful erythroid improvement.
VXRT,BTA074 5% topical gel (teslexivir)  Condyloma,Phase 2,06/04/2018  Phase 2 trial did not meet primary endpoint.
MYL,MYL-1401H  Neulasta biosimilar,Approved,"06/04/2018  Approval announced June 4, 2018."
CALA,CB-839 plus capecitabine  Solid tumors,Phase 1,06/04/2018  Phase 1 presentation at ASCO June 2018. PFS 26 weeks.
AZN,Lynparza  Castration-Resistant Prostate Cancer,Phase 3,06/04/2018  Phase 2 presentation at ASCO 2018. rPFS 13.8mths.
MRK,Lynparza  Castration-Resistant Prostate Cancer,Phase 3,06/04/2018  Phase 2 presentation at ASCO 2018. rPFS 13.8mths.
AGIO,Enasidenib or ivosidenib with VIDAZA  Frontline AML with IDH1 or IDH2 mutation,Phase 1/2,"06/04/2018  Phase 1/2 updated data at ASCO June 2018. ORR of 78%, CR Rate of 44%."
AGEN,AGEN1884 (anti-CTLA-4)  Solid cancers,Phase 1,06/04/2018  Phase 1 presentation at ASCO 2018. 31% ORR.
INFI,IPI-549 + Nivolumab  Solid tumors,Phase 1,06/04/2018  Data presented at ASCO June 2018. PR 7%.
TSRO,Niraparib and Keytruda (TOPACIO)  Triple-negative Breast Cancer or Ovarian Cancer,Phase 1/2,06/04/2018  Phase 1/2 trial ongoing. Data at ASCO 2018 noted ORR 25%.
PTLA,Cerdulatinib (PRT2070)  Refractory non-Hodgkin lymphoma and chronic lymphocytic leukemia - cancer,Phase 2,06/04/2018  Phase 2 interim data at ASCO June 2018. ORR 47%.
ZIOP,Ad-RTS-hIL-12 + veledimex  Glioblastoma Multiforme (GBM),Phase 1,06/04/2018  Phase 1 presentation at ASCO June 2018. OS 12.7mths.
MEIP,ME-401  Relapsed/refractory Follicular Lymphoma/Chronic Lymphocytic Leukemia (CLL),Phase 1b,06/04/2018  Phase 1b data presented at ASCO June 2018. ORR 90%.
MEIP,ME-344  HER2-negative Breast Cancer,Phase 1,06/04/2018  Phase 1 data presented at ASCO June 2018. Noted primary endpoint P=0.06.
RNN,RX-3117  Advanced bladder cancer - 3rd line,Phase 2a,06/04/2018  Phase 2a data presented at ASCO 2018. ORR 21%.
RNN,Supinoxin RX-5902  Triple negative breast cancer,Phase 2a,06/04/2018  Phase 1b/2a data at ASCO 2018 - 50% response rate.
BMY,CM-227 – Opdivo + Yervoy  First-line Non-small cell lung cancer (NSCLC),PDUFA,"06/04/2018  Phase 3 interim data released February 5, 2018 - co-primary endpoint of PFS met. Data presented at ASCO 2018 - HR 0.74."
TSRO,Niraparib - (QUADRA trial) Cancer - ovarian,Phase 2,06/04/2018  Additional data at ASCO 2018 ORR 29%.
IDRA,Tilsotolimod + ipilimumab - ILLUMINATE 204  Cancer - melanoma,Phase 2,06/04/2018  Phase 2 data at ASCO 2018. 38% ORR.
PLX,OPRX-106  Ulcerative Colitis,Phase 2,"06/05/2018  Phase 2 data released March 13, 2018 - key endpoints met. Data presented at DDW Meeting - 67% of patients experienced a clinical response."
LLY,KEYTRUDA + chemo (KEYNOTE-021)  First-Line Nonsquamous Non-small cell lung cancer (NSCLC),Approved,"06/05/2018  FDA approval (label expansion) announced June 5, 2018."
MRK,KEYTRUDA + chemo (KEYNOTE-021)  First-Line Nonsquamous Non-small cell lung cancer (NSCLC),Approved,"06/05/2018  FDA approval (label expansion) announced June 5, 2018."
LLY,Mirikizumab (LY3074828)  Ulcerative Colitis,Phase 2,"06/05/2018  Phase 2 data presented at DDW June 5, 2018. 41.3-59.7% achieved clinical response vs 20.6% for placebo."
ABBV,ABT-494 - SELECT-EARLY  Rheumatoid arthritis,Phase 3,"06/05/2018  Phase 3 trial met all endpoints - June 5, 2018. Regulatory filing due 2H 2018."
PTI,PTI-801: Corrector Cystic fibrosis,Phase 1,"06/06/2018  Phase 1 additional data released June 6, 2018. Final data due 3Q 2018."
RHHBY,MabThera/ Rituxan (rituximab)  Pemphigus vulgaris,Approved,"06/07/2018  Approval announced June 7, 2018."
AMGN,KYPROLIS (ASPIRE)  Relapsed Multiple Myeloma,Approved,"06/11/2018  sNDA approval announced June 11, 2018."
VICL,VCL-HB01 HSV-2 Therapeutic Vaccine  Genital Herpes in Adults,Phase 2,"06/11/2018  Phase 2 trial did not meet primary endpoint - June 11, 2018."
AGN,ATOGEPANT  Prophylaxis (migraine),Phase 2b,"06/11/2018  Phase 2b top-line data released June 11, 2018 - primary endpoint met."
AZN,Lanabecestat (AZD3293) - AMARANTH  Early Alzheimer's disease,Phase 3,06/11/2018  Announced discontinuation of trial due to futility.
LLY,Lanabecestat (AZD3293) - AMARANTH  Early Alzheimer's disease,Phase 3,06/11/2018  Announced discontinuation of trial due to futility.
ABBV,Venclexta (MURANO)  Relapsed or refractory Chronic Lymphocytic Leukemia (CLL),Approved,"06/11/2018  Approval announced June 11, 2018."
RHHBY,Venclexta (MURANO)  Relapsed or refractory Chronic Lymphocytic Leukemia (CLL),Approved,"06/11/2018  Approval announced June 11, 2018."
VTVT,Azeliragon - STEADFAST Mild Alzheimer’s disease,Phase 3,"06/12/2018  Phase 3 data from Part A released April 9, 2018 did not meet endpoints. Part B data released June 12, 2018 also did not meet endpoints."
GLMD,Aramchol - ARREST  Non-Alcoholic Steatohepatitis (NASH),Phase 2b,"06/12/2018  Phase 2b data released June 12, 2018 - mixed data."
PSTI,"PLX-PAD (stem cells)  Intermittent claudication, or IC",Phase 2,"06/12/2018  Phase 2 data released June 12, 2018 - primary endpoint met."
MRK,KEYTRUDA  Cervical cancer,Approved,"06/12/2018  Approval announced June 12, 2018."
IDRA,IMO-8400  Dermatomyositis,Phase 2,"06/12/2018  Phase 2 data released June 12, 2018 - primary endpoint not met."
MRK,Keytruda  Relapsed or Refractory Primary Mediastinal Large B-Cell Lymphoma (PMBCL),Approved,"06/13/2018  Approval announced June 13, 2018."
FLKS,FLX-787 COMMIT  Charcot-Marie-Tooth (CMT),Phase 2,"06/13/2018  Phase 2 trial terminated - noted June 13, 2018."
FLKS,FLX-787 - COMMEND US trial  Amyotrophic lateral sclerosis (ALS),Phase 2,"06/13/2018  Phase 2 trial terminated - noted June 13, 2018."
RHHBY,Avastin (bevacizumab) + chemo  Ovarian cancer,Approved,"06/13/2018  FDA approval announced June 13, 2018."
SCPH,Furoscix  Heart failure,CRL,"06/13/2018  CRL issued June 13, 2018 (10 days early). Additional trials required."
BPMC,Avapritnib BLU-285 - EXPLORER  Advanced Systemic mastocytosis (SM),Phase 1,"06/15/2018  Phase 1 updated data due at EHA June 15, 2018. ORR 83%."
TGTX,TGR-1202  Myelofibrosis,Phase 1,06/15/2018  Phase 1 updated data released at EHA June 2018. 2 patients (9%) achieved a durable complete remission.
TEVA,Fremanezumab  Cluster headache,Phase 3,"06/15/2018  Phase 3 trial to be terminated due to lack of efficacy - noted June 15, 2018."
ATRA,ATA 129 Epstein-Barr virus (EBV-PTLD),Phase 2,06/15/2018  Phase 2 presentation at EHA June 2018. Median survival in SOT patients was 21.3 months and was not reached in the HCT population after 23.3 months.
BGNE,Zanubrutinib (BGB-3111)  Waldenström’s macroglobulinemia,Phase 1/2,06/15/2018  Phase 1 data to be presented at EHA June 2018 - ORR 92%.
KDMN,KD025 - ROCKstar (KD025-213)  Chronic graft-versus-host disease (cGVHD),Phase 2,06/15/2018  Updated data at EHA June 2018 noted ORR 67%.
GBT,GBT440 HOPE-KIDS 1  Sickle cell disease - children age 6-17.,Phase 2a,"06/15/2018  Phase 2a Part B data released EHA June 15, 2018."
ARQL,ARQ 531  B-cell malignancies,Phase 1a,06/15/2018  Phase 1 data EHA June 2018. 29-35% tumor reduction.
BLUE,LentiGlobin - HGB-207 Northstar-2  non-β0/β0 transfusion-dependent thalassemia (TDT),Phase 3,06/15/2018  Data released at EHA June 2018. 7/8 patients producing ≥ 7.6 g/dL of HbAT87Q and are maintaining hemoglobin levels of 11.1 – 13.3 g/dL by 6 months.
BLUE,LentiGlobin - HGB-206  Sickle disease,Phase 1/2,06/15/2018  Update at EHA June 2018. All patients (4) in Group C with ≥ 3 months follow-up producing ≥ 30% anti-sickling HbA.
EPZM,Tazemetostat  Follicular lymphoma,Phase 2,06/15/2018  Phase 2 data released at EHA June 2018. Noted FL patients with wild-type ORR 33%; EZH2 ORR 71%.
MOR,MOR208 + idelalisib (COSMOS)  Chronic Lymphocytic Leukemia,Phase 2,06/15/2018  Phase 2 presentation at EHA June 2018. ORR 82%. CR 9%.
BMY,Empliciti (elotuzumab) - ELOQUENT-3  Relapsed/refractory multiple myeloma,Approved,"06/17/2018  Phase 2 trial met primary endpoint - noted June 17, 2018. HR HR 0.54. Median PFS 10.3 months."
BHC,DUOBRII (halobetasol propionate and tazarotene)  Psoriasis,PDUFA,"06/18/2018  CRL issued June 18, 2018."
RYTM,"Setmelanotide  POMC Heterozygous Deficiency Obesity, Alstrom Syndrome, POMC Epigenetic Disorders",Phase 2,"06/18/2018  Initial data released June 18, 2018: Alstrom Syndrome - Phase 2 proof of concept achieved. Phase 3 trial planned; POMC Heterozygous Deficiency Obesity - 3/4 patients discontinued; POMC Epigenetic Disorders - positive data from one patient released."
OBSV,OBE2109  Endometriosis,Phase 2b,"06/18/2018  Phase 2b trial met endpoints - June 18, 2018."
SLDB,SGT-001  Duchenne Muscular Dystrophy,Phase 1/2,"06/18/2018  Clinical hold announced March 14, 2018. Hold released June 18, 2018."
CBIO,CB 2679d/ ISU304  Hemophilia B,Phase 1/2,"06/18/2018  Cohort 6 patients (2) safety concerns - presence of neutralizing antibodies - noted June 18, 2018."
TGTX,TG-1101 (ublituximab)  Relapsing forms of Multiple Sclerosis (RMS),Phase 2a,"06/18/2018  Phase 2a updated data released at EAN June 18, 2018. Annualized Relapse Rate (ARR) of 0.07."
PTCT,RG7916 - FIREFISH  Spinal Muscular Atrophy (SMA) Type 1,Phase 2/3,"06/18/2018  Updated positive Phase 1 data released June 16, 2018."
ZIOP,Sleeping beauty  Solid tumors,Phase 1,"06/18/2018  Phase 1 trial placed on clinical hold - June 18, 2018."
SRPT,Microdystrophin gene therapy  Duchenne muscular dystrophy,Phase 1/2,"06/19/2018  Phase 1/2 positive data from three patients presented June 19, 2018."
KZIA,Cantrixil  Ovarian cancer,Phase 1,"06/19/2018  Phase 1 initial data released June 19, 2018. 2/5 SD. One PR."
ANIK,Cingal  Osteoarthritis,Phase 3,"06/19/2018  Phase 3 trial did not meet primary endpoint - June 19, 2018."
ARGX,Efgartigimod (ARGX-113)  Pemphigus vulgaris (PV),Phase 2,"06/20/2018  Phase 2 interim data released June 20, 2018, disease control observed in 4/6 patients."
INCY,Ruxolitinib  Graft versus host disease,PDUFA priority review,"06/21/2018  Phase 2 pivotal data released June 21, 2018. Primary endpoint met. sNDA filing due 3Q 2018."
NVS,Ruxolitinib  Graft versus host disease,PDUFA priority review,"06/21/2018  Phase 2 pivotal data released June 21, 2018. Primary endpoint met. sNDA filing due 3Q 2018."
HRTX,HTX-011  Total knee arthroplasty,Phase 2b,"06/21/2018  Phase 2 data released June 21, 2018. Primary endpoint met."
INCY,INCB50465 (CITADEL-202)  Diffuse large B cell lymphoma,Phase 2,"06/21/2018  Phase 2 trial to be discontinued - noted June 21, 2018."
ZFGN,ZGN-1061  Diabetes,Phase 2,"06/23/2018  Phase 2 trial met all endpoints - noted June 23, 2018."
ARRY,Encorafenib and cetuximab - BEACON CRC  BRAF-Mutant Colorectal Cancer,Phase 3,"06/23/2018  Updated data June 23, 2018 noted one-year overall survival rate for this cohort was 62%. Median OS not yet reached. ORR 48%."
SPHS,Topsalysin (PRX302)  Localized low to intermediate risk prostate cancer,Phase 2,"06/25/2018  Noted patient death after second dose - June 25, 2018."
PFE,IBRANCE - PALOMA-3  Breast cancer,Phase 3,"06/25/2018  Phase 3 overall survival secondary endpoint not met - June 25, 2018. PFS primary endpoint met (announced previously)."
MACK,MM-141 - CARRIE  Cancer - front line pancreatic cancer,Phase 2,"06/25/2018  Phase 2 data released June 25, 2018 - endpoints not met."
LLY,Empagliflozin  Type 1 Diabetes,Phase 3,"06/25/2018  Phase 3 trial met primary endpoint - noted June 25, 2018."
RHHBY,Tecentriq+cb+etoposide - IMpower133  Squamous non-small cell lung cancer (NSCLC),Phase 3,"06/25/2018  Phase 3 data trial met co-primary endpoints of PFS and OS - June 25, 2018."
AKAO,Plazomicin  Complicated urinary tract infections (cUTI),Approved,06/26/2018  FDA approval for cUTI but CRL received for the treatment of bloodstream infection (BSI)
DRRX,Remoxy  Chronic pain,CRL,"06/26/2018  Advisory Committee Meeting June 26, 2018 voted 14-3 against recommending approval."
PTIE,Remoxy  Chronic pain,CRL,"06/26/2018  Advisory Committee Meeting June 26, 2018 voted 14-3 against recommending approval."
SMMT,Ezutromid  Duchenne muscular dystrophy,Phase 2,"06/27/2018  Phase 2 top-line data released June 27, 2018. Primary endpoint not met."
ARRY,Binimetinib - COLUMBUS  BRAF mutant melanoma cancer,Approved,"06/27/2018  Approval announced June 27, 2018."
AQXP,AQX-1125 LEADERSHIP  Bladder pain syndrome/interstitial cystitis (BPS/IC),Phase 3,"06/27/2018  Phase 3 data released June 27, 2018. Primary endpoint not met."
GBT,GBT440 - HOPE  Sickle cell disease in adults,Phase 3,"06/27/2018  Phase 3 Part A data released June 27, 2018. Primary endpoint met. Met with FDA to discuss potential accelerated approval."
AMGN,ABP 710  REMICADE biosimilar - rheumatoid arthritis,Phase 3,"06/27/2018  Phase 3 data released June 27, 2018 confirmed non-inferiority compared to infliximab, could not rule out superiority."
CARA,IV CR845  Acute pain,Phase 3,"06/27/2018  Phase 3 data released June 27, 2018. Company noted primary endpoint but data mixed."
AZN,Lynparza - SOLO 1  First-line ovarian cancer following platinum-based chemotherapy,PDUFA priority review,"06/27/2018  Phase 3 data released June 27, 2018. PFS endpoint met."
MRK,Lynparza - SOLO 1  First-line ovarian cancer following platinum-based chemotherapy,PDUFA priority review,"06/27/2018  Phase 3 data released June 27, 2018. PFS endpoint met."
LLY,Ixekizumab  Axial Spondyloarthritis,Phase 3,"06/28/2018  Phase 3 trial met primary endpoint - noted June 28, 2018."
GLPG,GLPG2737 - PELICAN  Adult CF patients who are homozygous for the Class II F508del mutation,Phase 2,"06/28/2018  Phase 2 top-line data lower than expectations released June 28, 2018."
GEMP,Gemcabene - INDIGO-1  Severe Hypertriglyceridemia (SHTG),Phase 2b,"06/28/2018  Phase 2b primary endpoint met - June 28, 2018."
ASNS,ASN100  Staphylococcus aureus,Phase 2,"06/28/2018  Phase 2 trial to be discontinued due to futility - June 28, 2018."
XLRN,Luspatercept - MEDALIST  Myelodysplastic syndromes (MDS) cancer,Phase 3,"06/28/2018  Phase 3 trial met primary endpoint - June 28, 2018."
CELG,Luspatercept - MEDALIST  Myelodysplastic syndromes (MDS) cancer,Phase 3,"06/28/2018  Phase 3 trial met primary endpoint - June 28, 2018."
DERM,Glycopyrronium tosylate  Primary axillary hyperhidrosis,Approved,"06/29/2018  Approval announced June 29, 2018."
RHHBY,Tecentriq plus nab-paclitaxe - IMpassion 130  First-line triple negative breast cancer (TNBC),Phase 3,07/01/2018  https://www.roche.com/media/releases/med-cor-2018-07-02.htm
ALKS,Aripiprazole Lauroxil NanoCrystal Dispersion (ALNCD)  Schizophrenia,Approved,"07/02/2018  FDA approval announced July 2, 2018."
TTNP,Ropinirole implant  Parkinson's disease,Phase 1/2,"07/02/2018  DSMB recommended trial to continue - July 2, 2018 but further enrollment has been postponed due to lack of resources."
CTIC,Pacritinib - PAC203  Myelofibrosis,Phase 2,"07/02/2018  Phase 2 interim analysis noted July 2, 2018 that trial should continue."
ZYNE,ZYN001  Healthy volunteers,Phase 1,07/05/2018  Phase 1 trial failed to meet target blood levels. Company to focus on ZYN002.
RGLS,RGLS4326 Autosomal dominant polycystic kidney disease (ADPKD),Phase 1,07/05/2018  Phase 1 trial has been paused due to unexpected levels observations in mouse toxicity trial.
BIIB,BAN2401 (Aβ mAb)  Alzheimer’s disease,Phase 2,"07/05/2018  Phase 2 data released July 5, 2018 noted statistically significant slowing of disease progression on the ADCOMS endpoint after 18 months."
KMPH,KP415  ADHD,Phase 3,"07/09/2018  Top-line data released July 9, 2018 - primary endpoint met."
CTIC,PIXUVRI - PIX306 Trial  B-cell non-Hodgkin lymphoma,Phase 3,07/09/2018  Phase 3 data released July 10. 2018. Primary endpoint not met.
XLRN,Luspatercept - BELIEVE  b -thalassemia,Phase 3,"07/09/2018  Phase 3 data released July 9, 2018. Primary and key secondary endpoints met."
CELG,Luspatercept - BELIEVE  b -thalassemia,Phase 3,"07/09/2018  Phase 3 data released July 9, 2018. Primary and key secondary endpoints met."
SCYX,SCY-078 - oral  Vulvovaginal candidiasis (VVC),Phase 2b,"07/10/2018  Phase 2b data released July 10, 2018."
BMY,CM-142 – Opdivo (dMMR) or microsatellite instability high (MSI-H) metastatic colorectal cancer (CRC),Approved,"07/11/2018  Approval announced July 11, 2018."
ABBV,IMBRUVICA (ibrutinib)  Diffuse large B-cell lymphoma (DLBCL),Phase 3,"07/11/2018  Phase 3 trial did not meet primary endpoint - noted July 11, 2018."
JNJ,IMBRUVICA (ibrutinib)  Diffuse large B-cell lymphoma (DLBCL),Phase 3,"07/11/2018  Phase 3 trial did not meet primary endpoint - noted July 11, 2018."
ZGNX,ZX008 - Study 1504  Dravet syndrom,Phase 3,"07/12/2018  Phase 3 data released July 12, 2018. Primary endpoint met."
SIGA,TPOXX  Smallpox,Approved,"07/13/2018  FDA approval announced July 13, 2018."
PFE,XTANDI (PROSPER)  Non-metastatic high risk hormone-sensitive prostate cancer,Approved,"07/13/2018  FDA approval announced July 13, 2018."
ADXS,Axalimogene filolisbac + durvalumab  Recurrent or refractory HPV-associated cervical cancer and head & neck cancer,Phase 1/2,"07/13/2018  Clinical hold announced March 2018 released July 13, 2018."
JNJ,INVOKANA - CREDENCE  Diabetic Kidney Disease,Phase 3,"07/16/2018  Phase 3 trial stopped early due to positive efficacy - July 16, 2018."
RCUS,AB928  Healthy volunteers,Phase 1,"07/17/2018  Phase 1 data released July 17, 2018. Safe and well tolerated."
PULM,Pulmazole (PUR1900)  Allergic bronchopulmonary aspergillosis in patients with asthma.,Phase 1,"07/17/2018  Phase 1 Part 3 data released July 17, 2018 - safe and well tolerated"
JNJ,D/C/F/TAF  HIV,Approved,"07/18/2018  FDA Approval announced July 17, 2018."
LLY,Tanezumab  Osteoarthritis,Phase 3,"07/18/2018  Phase 3 data released July 18, 2018 - co-primary endpoints met."
PFE,Tanezumab  Osteoarthritis,Phase 3,"07/18/2018  Phase 3 data released July 18, 2018 - co-primary endpoints met."
CBIO,Marzeptacog alfa  Hemophilia,Phase 2/3,"07/18/2018  Phase 2 interim data released July 18, 2018. Phase 2 portion of trial to be completed by end of 2018."
MRSN,XMT1522  HER2 - breast cancer,Phase 1,"07/19/2018  Phase 1 partial clinical hold due to patient death announced July 19, 2018."
AGN,ABICIPAR  Age-related macular degeneration (AMD),Phase 3,"07/19/2018  Phase 3 data released July 19, 2018. Primary endpoint met."
LLY,Tradjenta (linagliptin) - CARMELINA CV outcomes  Type 2 Diabetes,Phase 3,"07/19/2018  Phase 3 trial met primary endpoint - July 19, 2018."
RHHBY,TECENTRIQ (atezolizumab) plus chemotherapy (carboplatin and Abraxane) - IMpower132  Squamous non-small cell lung cancer (NSCLC),Phase 3,"07/19/2018  Phase 3 data released July 19, 2018. PFS endpoint met, OS endpoint not yet met - final OS data due 2019."
AGIO,Ivosidenib  IDH1m Relapsed/Refractory AML - cancer,Approved,"07/20/2018  FDA Approval announced July 20, 2018."
RETA,Bardoxolone - PHOENIX  Chronic Kidney Disease,Phase 2,"07/23/2018  Phase 2 full data released July 23, 2018. Primary endpoint met."
XLRN,ACE-083  Charcot-Marie-Tooth disease (CMT),Phase 2,"07/23/2018  Phase 2 preliminary data presented July 23, 2018"
GSK,Tafenoquine  Malaria,Approved,"07/23/2018  FDA Approval announced July 23, 2018."
BGNE,Tislelizumab - BGB-A317  Relapsed or refractory classical Hodgkin lymphoma (cHL),Phase 2,"07/23/2018  Phase 2 pivotal preliminary data released July 23, 2018. ORR 73%, CR 50%."
CELG,REVLIMID - AUGMENT Relapsed or Refractory Follicular Lymphoma,Phase 3,"07/23/2018  Phase 3 data released July 23, 2018. Primary endpoint met. Regulatory filing due 1Q 2019."
NBIX,Elagolix Endometriosis,Approved,"07/24/2018  FDA approval announced July 24, 2018."
ABBV,Elagolix Endometriosis,Approved,"07/24/2018  FDA approval announced July 24, 2018."
MRK,Keytruda KN-048  Head and Neck Cancer,Phase 3,"07/25/2018  Phase 3 trial met OS primary endpoint - July 25, 2018. PFS endpoint not yet reached."
BIIB,BAN2401 (Aβ mAb)  Alzheimer’s disease,Phase 2,"07/25/2018  Phase 2 mixed data released July 25, 2018. High dose exhibited statistical improvement. Low doses missed."
CRMD,Neutrolin - LOCK-IT 100  Hemodialysis patients with central venous catheters,Phase 3,"07/25/2018  Phase 3 interim analysis July 25, 2018 by DSMB recommended trial to be stopped early as sufficient efficacy has been demonstrated."
TORC,RTB101 and Everolimus  Respiratory Tract Infections,Phase 2b,"07/25/2018  Phase 2b data released July 25, 2018. Once daily treatment met primary endpoint. Low dose, twice daily and combo failed."
GSK,Mepolizumab  Chronic obstructive pulmonary disease (COPD) with an eosinophilic phenotype,CRL,"07/25/2018  Advisory Committee July 25, 2018 voted 3-16 against recommending approval. PDUFA date September 7, 2018."
ATNX,KX-01 (KX2-391) Ointment  Actinic keratosis,Phase 3,"07/26/2018  Phase 3 data released July 26, 2018. Primary endpoint met."
ARRY,Selumetinib - ASTRA  Thyroid cancer,Phase 3,"07/26/2018  Phase 3 trial did not meet primary endpoint - noted July 26, 2018."
AZN,Selumetinib - ASTRA  Thyroid cancer,Phase 3,"07/26/2018  Phase 3 trial did not meet primary endpoint - noted July 26, 2018."
INSY,Buprenorphine  Moderate to severe postoperative pain after bunionectomy,CRL,"07/27/2018  CRL issued July 27, 2018."
TNXP,TNX-102 SL (Tonmya)  Post-traumatic stress disorder (PTSD),Phase 3,"07/27/2018  Phase 3 trial halted due to insufficient efficacy - July 27, 2018."
DRRX,RBP-7000  Schizophrenia,Approved,"07/27/2018  FDA Approval announced July 27, 2018."
SNNA,SNA-001 Acne,Phase 3,"07/30/2018  Phase 3 data released July 30, 2018 did not meet primary endpoint."
RDHL,RHB-104 MAP US  Crohn’s disease,Phase 3,"07/30/2018  Phase 3 data released July 30, 2018. Primary endpoint met but further trial required."
PGNX,Azedra  Pheochromocytoma,Approved,"07/30/2018  FDA approval announced July 30, 2018."
TBPH,TD-9855  nOH,Phase 2a,"08/01/2018  Phase 2a data released August 1, 2018 with Phase 3 trial to commence late 2018 or early 2019."
SBPH,Inarigivir - ACHIEVE  Hepatitis B (HBV),Phase 2a,"08/02/2018  Phase 2 data from third cohort met primary endpoint - August 2, 2018."
EPZM,Tazemetostat  Follicular lymphoma,Phase 2,"08/02/2018  Phase 2 trial terminated due to lack of efficacy - August 8, 2018."
OVID,OV101 (STARS)  Adults with Angelman syndrome,Phase 2,"08/06/2018  Phase 2 data released August 6, 2018. Primary endpoint met but twice-a-day group failed to score significantly better than placebo."
PTGX,PTG-100  Ulcerative colitis,Phase 2b,"08/06/2018  Phase 2b trial discontinued following interim analysis - March 26, 2018. However, company noted August 6, 2018 that human error by CRO contributed to this decision. Will meet with FDA 2H to discuss future development."
